lang,timestamp
hu,2013-12-30 09:51:29
ar,2014-07-06 16:40:39
he,2014-07-07 22:22:10
en,2014-07-08 06:00:52
ru,2014-07-08 07:36:46
de,2014-07-08 09:47:42
eu,2014-07-08 15:09:50
nl,2014-07-08 18:49:51
ca,2014-07-08 23:00:10
es,2014-07-09 05:13:05
fr,2014-07-09 13:44:46
it,2014-07-09 15:43:08
az,2014-07-09 17:02:40
pt,2014-07-09 17:39:03
id,2014-07-09 20:37:59
sr,2014-07-10 09:07:04
fa,2014-07-10 14:10:01
cs,2014-07-10 19:44:11
hy,2014-07-10 21:44:57
bn,2014-07-11 18:53:05
ko,2014-07-12 08:24:06
cy,2014-07-12 18:01:37
th,2014-07-13 18:22:50
si,2014-07-14 09:48:00
sh,2014-07-14 11:37:49
zh,2014-07-14 14:10:17
bs,2014-07-14 18:43:13
no,2014-07-14 20:16:33
ro,2014-07-15 08:47:19
ta,2014-07-15 11:03:56
sv,2014-07-16 15:26:04
tr,2014-07-18 11:52:34
be-x-old,2014-07-19 07:26:16
diq,2014-07-19 19:57:22
gl,2014-07-20 00:23:03
ka,2014-07-20 08:51:44
fi,2014-07-20 15:50:06
vi,2014-07-21 03:47:44
el,2014-07-23 10:07:21
sco,2014-07-25 15:26:30
ja,2014-07-28 07:06:27
hr,2014-07-28 22:58:55
pl,2014-07-30 16:36:56
ur,2014-08-07 18:54:12
eo,2014-08-11 11:00:13
ms,2014-09-03 07:13:56
jv,2014-10-18 03:53:39
uk,2016-11-25 07:53:32
azb,2018-09-29 07:27:16
